code,attached_name,jpx_name_english,jpx_section,reason
1841,"SANYU CONSTRUCTION CO.,LTD.",,,not_in_JPX_202604_list
1949,"SUMITOMO DENSETSU CO.,LTD.",,,not_in_JPX_202604_list
202A,"MAMEZO CO.,LTD.",,,not_in_JPX_202604_list
2196,ESCRIT INC.,,,not_in_JPX_202604_list
2374,SAINT-CARE HOLDING CORPORATION,,,not_in_JPX_202604_list
2389,"DIGITAL HOLDINGS,INC.",,,not_in_JPX_202604_list
2971,ESCON JAPAN REIT Investment Corporation,ESCON JAPAN REIT Investment Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
2972,SANKEI REAL ESTATE Inc.,SANKEI REAL ESTATE Inc.,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
2979,"SOSiLA Logistics REIT,Inc.","SOSiLA Logistics REIT,Inc.","REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
2989,"Tokaido REIT,Inc.","Tokaido REIT,Inc.","REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
3226,Mitsui Fudosan Accommodations Fund Inc.,Mitsui Fudosan Accommodations Fund Inc.,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
3234,MORI HILLS REIT INVESTMENT CORPORATION,MORI HILLS REIT INVESTMENT CORPORATION,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
3249,Industrial & Infrastructure Fund Investment Corporation,Industrial & Infrastructure Fund Investment Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
3269,Advance Residence Investment Corporation,Advance Residence Investment Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
3279,Activia Properties Inc.,Activia Properties Inc.,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
3281,GLP J-REIT,GLP J-REIT,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
3282,"Comforia Residential REIT,Inc","Comforia Residential REIT,Inc","REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
3283,"Nippon Prologis REIT,Inc.","Nippon Prologis REIT,Inc.","REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
3287,"Hoshino Resorts REIT,Inc.","Hoshino Resorts REIT,Inc.","REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
3290,"One REIT,Inc.","One REIT,Inc.","REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
3292,AEON REIT Investment Corporation,AEON REIT Investment Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
3295,"Hulic Reit,Inc.","Hulic Reit,Inc.","REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
3296,NIPPON REIT Investment Corporation,NIPPON REIT Investment Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
3309,"Sekisui House Reit,Inc.","Sekisui House Reit,Inc.","REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
3451,Tosei Reit Investment Corporation,Tosei Reit Investment Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
3455,Healthcare & Medical Investment Corporation,Healthcare & Medical Investment Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
3459,Samty Residential Investment Corporation,Samty Residential Investment Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
3462,"Nomura Real Estate Master Fund,Inc.","Nomura Real Estate Master Fund,Inc.","REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
3463,Ichigo Hotel REIT Investment Corporation,Ichigo Hotel REIT Investment Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
3466,LaSalle LOGIPORT REIT,LaSalle LOGIPORT REIT,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
3468,Star Asia Investment Corporation,Star Asia Investment Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
3470,"Marimo Regional Revitalization REIT,Inc.","Marimo Regional Revitalization REIT,Inc.","REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
3471,Mitsui Fudosan Logistics Park Inc.,Mitsui Fudosan Logistics Park Inc.,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
3472,Nippon Hotel & Residential Investment Corporation,Nippon Hotel & Residential Investment Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
3476,MIRAI Corporation,MIRAI Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
3481,Mitsubishi Estate Logistics REIT Investment Corporation,Mitsubishi Estate Logistics REIT Investment Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
3487,"CRE Logistics REIT,Inc.","CRE Logistics REIT,Inc.","REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
3488,CENTRAL REIT Investment Corporation,CENTRAL REIT Investment Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
3492,MIRARTH Real Estate Investment Corporation,MIRARTH Real Estate Investment Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
3526,"ASHIMORI INDUSTRY CO.,LTD.",,,not_in_JPX_202604_list
3541,Nousouken Corporation,,,not_in_JPX_202604_list
3655,BrainPad Inc.,,,not_in_JPX_202604_list
3902,"Medical Data Vision Co.,Ltd.",,,not_in_JPX_202604_list
3924,"R&D COMPUTER CO.,LTD.",,,not_in_JPX_202604_list
3961,"Silver Egg Technology CO.,Ltd.",,,not_in_JPX_202604_list
401A,Kasumigaseki Hotel REIT Investment Corporation,Kasumigaseki Hotel REIT Investment Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
4333,"TOHO SYSTEM SCIENCE CO.,LTD.",,,not_in_JPX_202604_list
4690,"NIPPON PALLET POOL CO.,LTD.",,,not_in_JPX_202604_list
4957,"YASUHARA CHEMICAL CO.,LTD.",,,not_in_JPX_202604_list
5259,BBD Initiative Inc.,,,not_in_JPX_202604_list
5352,KROSAKI HARIMA CORPORATION,,,not_in_JPX_202604_list
5386,"TSURUYA CO.,LTD.",,,not_in_JPX_202604_list
5596,"OutlookConsulting Co.,Ltd.",,,not_in_JPX_202604_list
6210,"TOYO INNOVEX Co.,Ltd.",,,not_in_JPX_202604_list
6293,"NISSEI PLASTIC INDUSTRIAL CO.,LTD.",,,not_in_JPX_202604_list
6406,"FUJITEC CO.,LTD.",,,not_in_JPX_202604_list
6734,"Newtech Co.,Ltd.",,,not_in_JPX_202604_list
7092,Fast Fitness Japan Incorporated,,,not_in_JPX_202604_list
7105,"Mitsubishi Logisnext Co.,Ltd.",,,not_in_JPX_202604_list
7116,"DAIWA TSUSHIN Co.,Ltd",,,not_in_JPX_202604_list
7205,"HINO MOTORS,LTD.",,,not_in_JPX_202604_list
7250,"PACIFIC INDUSTRIAL CO.,LTD.",,,not_in_JPX_202604_list
7420,"SATORI ELECTRIC CO.,LTD.",,,not_in_JPX_202604_list
7445,"RIGHT ON Co.,Ltd.",,,not_in_JPX_202604_list
7450,"SUNDAY CO.,LTD.",,,not_in_JPX_202604_list
7455,PARIS MIKI HOLDINGS Inc.,,,not_in_JPX_202604_list
7467,"HAGIWARA ELECTRIC HOLDINGS CO.,LTD.",,,not_in_JPX_202604_list
7635,"SUGITA ACE CO.,LTD.",,,not_in_JPX_202604_list
7718,"STAR MICRONICS CO.,LTD.",,,not_in_JPX_202604_list
7739,CANON ELECTRONICS INC.,,,not_in_JPX_202604_list
7923,TOIN CORPORATION,,,not_in_JPX_202604_list
8209,FRIENDLY CORPORATION,,,not_in_JPX_202604_list
8421,Shinkin Central Bank,Shinkin Central Bank,Equity Contribution Securities,equity_contribution_security
8515,AIFUL CORPORATION,,,not_in_JPX_202604_list
8951,Nippon Building Fund Inc.,Nippon Building Fund Inc.,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
8952,Japan Real Estate Investment Corporation,Japan Real Estate Investment Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
8953,Japan Metropolitan Fund Investment Corporation,Japan Metropolitan Fund Investment Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
8954,ORIX JREIT Inc.,ORIX JREIT Inc.,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
8955,Japan Prime Realty Investment Corporation,Japan Prime Realty Investment Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
8956,NTT UD REIT Investment Corporation,NTT UD REIT Investment Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
8957,"TOKYU REIT, Inc.","TOKYU REIT, Inc.","REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
8958,Global One Real Estate Investment Corporation,Global One Real Estate Investment Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
8960,United Urban Investment Corporation,United Urban Investment Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
8961,"MORI TRUST REIT,Inc.","MORI TRUST REIT,Inc.","REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
8963,Invincible Investment Corporation,Invincible Investment Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
8964,Frontier Real Estate Investment Corporation,Frontier Real Estate Investment Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
8966,"HEIWA REAL ESTATE REIT,Inc.","HEIWA REAL ESTATE REIT,Inc.","REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
8967,"Japan Logistics Fund,Inc.","Japan Logistics Fund,Inc.","REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
8968,Fukuoka REIT Corporation,Fukuoka REIT Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
8972,KDX Realty Investment Corporation,KDX Realty Investment Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
8975,Ichigo Office REIT Investment Corporation,Ichigo Office REIT Investment Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
8976,Daiwa Office Investment Corporation,Daiwa Office Investment Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
8977,"Hankyu Hanshin REIT,Inc.","Hankyu Hanshin REIT,Inc.","REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
8979,Starts Proceed Investment Corporation,Starts Proceed Investment Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
8984,Daiwa House REIT Investment Corporation,Daiwa House REIT Investment Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
8985,Japan Hotel REIT Investment Corporation,Japan Hotel REIT Investment Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
8986,Daiwa Securities Living Investment Corporation,Daiwa Securities Living Investment Corporation,"REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
8987,"Japan Excellent,Inc.","Japan Excellent,Inc.","REIT, Venture Funds, Country Funds and Infrastructure Funds",fund_REIT_infrastructure_or_venture
9600,I-NET CORP.,,,not_in_JPX_202604_list
